Название игры,Жанры,Описание,Целевая аудитория,Прибыльность,Конкуренты
grand theft auto v,Action,"This bundle contains the original version of Grand Theft Auto V, the standalone game Grand Theft Auto Online and the story mode add-on of Grand Theft Auto V.",Mature,Высокая,Нет данных
the witcher 3: wild hunt,"Action, RPG","RPG and sequel to The Witcher 2 (2011), The Witcher 3 follows witcher Geralt of Rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn Northern Kingdoms. Geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes, each ranging from the personal to the world-changing.",Mature,Высокая,Нет конкурентов
portal 2,"Shooter, Puzzle","Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs.",Everyone 10+,Высокая,"Soldier Front 2, Meat & Greed, Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition, LiMiT's Escape Room Games, The Lost Valley"
counter-strike: global offensive,Shooter,"Counter-Strike: Global Offensive expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content",Mature,Высокая,"Soldier Front 2, Mobile Suit Gundam Battle Operation 2, Malevolence, The Banner Saga: Factions, Nodrog's Fortress"
tomb raider (2013),"Action, Fighting",Нет описания,Mature,Высокая,Нет данных
portal,"Action, Puzzle","Portal was an ambitious attempt to tell a story with the depth of a novel and the interactivity of a game, sitting somewhere between interactive fiction and simulation of a computer system.",Teen,Высокая,"Landon, Spud!, Pavilion, King's Quest III Redux: To Heir is Human, All is Fair in Love and Vore: The Tavorion Collection"
left 4 dead 2,"Action, Shooter","Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale.",Mature,Высокая,Нет конкурентов
the elder scrolls v: skyrim,"Action, RPG","Dragons, long lost to the passages of the Elder Scrolls, have returned and the future of Skyrim hangs in the balance. As Dragonborn, the prophesized hero born with the power of The Voice, you are the only one who can stand against them.",Mature,Высокая,Нет конкурентов
red dead redemption 2,Action,Нет описания,Mature,Высокая,"Soldier Front 2, Meat & Greed, Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition, LiMiT's Escape Room Games, The Lost Valley"
bioshock infinite,"Action, Shooter","BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.",Mature,Высокая,Нет данных
life is strange,Adventure,"Life is Strange is a five part episodic game that sets out to revolutionize story based choice and consequence games by allowing the player to rewind time and affect the past, present and future.",Mature,Высокая,"Bubble Whirl Shooter, Road Doom, Meat & Greed, Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition, LiMiT's Escape Room Games"
borderlands 2,"Action, Shooter, RPG","A new era of shoot and loot is about to begin. Play as one of four new vault hunters facing off against a massive new world of creatures, psychos and the evil mastermind, Handsome Jack. Make new friends, arm them with a bazillion weapons and fight alongside them in 4 player co-op on a relentless quest for revenge and redemption across the undiscovered and unpredictable living planet.",Mature,Высокая,Нет данных
half-life 2,"Action, Shooter","1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling.

NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around them, from the physical environment to the behaviors even the emotions of both friends and enemies.",Mature,Высокая,Нет конкурентов
bioshock,"Action, Shooter","The iOS port of BioShock is a completely functional version of the original game with a graphics engine optimized for iOS devices. The mechanics are identical to the original game with all the same Plasmids, Gene Tonics and Weapons. One noteworthy function this version lacks is jumping and the Research Camera feature. The game can additionally be played with a separate Bluetooth-enabled controller.",Mature,Высокая,"Magic Princess - Girls Makeup & Dressup Salon Game, Final Fantasy Explorers-Force, Into the Dungeon, Heirs of the Kings, Content Creator's Internet Adventure"
destiny 2,"Action, Shooter","Dive into the world of Destiny 2 to explore the mysteries of the solar system and experience responsive first-person shooter combat. Unlock powerful elemental abilities and collect unique gear to customize your Guardian's look and playstyle. Enjoy Destiny 2’s cinematic story, challenging co-op missions, and a variety of PvP modes alone or with friends. Download for free today and write your legend in the stars.",Teen,Высокая,Нет конкурентов
god of war (2018),Action,Нет описания,Mature,Высокая,Нет данных
limbo,"Action, Indie, Puzzle, Platformer","Limbo is an English Yume Nikki fangame. Limbo plays like a traditional fangame, the goal of the game is to explore Annie's dream world and find effects.",Teen,Высокая,Нет конкурентов
fallout 4,"Action, RPG","Bethesda Game Studios welcome you to the world of Fallout 4, their most ambitious game ever, and the next generation of open-world gaming. As the sole survivor of Vault 111, you enter a world destroyed by nuclear war. Every second is a fight for survival, and every choice is yours. Only you can rebuild and determine the fate of the Wasteland. Welcome home.",Mature,Высокая,Нет данных
doom (2016),"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
payday 2,"Action, Shooter","Payday 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original crew: Dallas, Hoxton, Wolf and Chains as they descend on Washington D.C. for an epic crime spree.",Adults Only,Высокая,Нет данных
team fortress 2,"Action, Shooter","One of the most popular online action games of all time, Team Fortress 2 delivers constant free updates—new game modes, maps, equipment and, most importantly, hats. Nine distinct classes provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills.",Mature,Высокая,"Soldier Front 2, Mobile Suit Gundam Battle Operation 2, Malevolence, Chex Quest 4: Flemmed to The Core, Zombie Driver"
cyberpunk 2077,"Action, Shooter, RPG","Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. You play as V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality. You can customize your character’s cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you.",Mature,Средняя,Нет конкурентов
terraria,"Action, Indie, Platformer","Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours!",Teen,Высокая,Нет данных
horizon zero dawn,"Action, RPG","Welcome to a vibrant world rich with the beauty of nature – but inhabited by awe-inspiring, highly advanced machines. As a young machine hunter named Aloy, you must unravel the mysteries of this world and find your own destiny.",Teen,Высокая,Нет конкурентов
grand theft auto iv,Action,"Grand Theft Auto IV is an action-adventure video game developed by Rockstar North and published by Rockstar Games. It is the eleventh title in the Grand Theft Auto series, and the first main entry since 2004's Grand Theft Auto: San Andreas.

The game is played from a third-person perspective and its world is navigated on-foot or by vehicle. Throughout the single-player mode, players play as Niko Bellic. An online multiplayer mode is included with the game, allowing up to 32 players to engage in both co-operative and competitive gameplay in a recreation of the single-player setting.

Two expansion packs were later released for the game, The Lost and Damned and The Ballad of Gay Tony, which both feature new plots that are interconnected with the main Grand Theft Auto IV storyline, and follow new protagonists.",Mature,Высокая,Нет конкурентов
dota 2,"Action, Massively Multiplayer",Нет описания,Все возрастные группы,Высокая,Нет конкурентов
rocket league,"Sports, Racing, Indie","Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special “Mutators” that let you change the rules entirely, hockey and basketball-inspired Extra Modes, and more than 500 trillion possible cosmetic customization combinations.",Everyone,Высокая,"Road Doom, Meat & Greed, LiMiT's Escape Room Games, Mage Guard, The Lost Valley"
